"country","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Saint Lucia",71.5,71.1,12.9,8.5,12048,-0.215433382275885
"Guyana",71.4,65.7,12.5,8.6,22465,-0.352136957075533
"South Africa",71.3,62.3,13.6,11.4,12948,0.023797873623499
"Jamaica",70.9,70.5,13.4,9.2,8834,-0.0445539137763248
"Samoa",70.7,72.8,12.4,11.4,5308,-0.386312850775445
"Gabon",70.6,65.8,13,9.4,13367,-0.181257488575973
"Lebanon",70.6,75,11.3,8.7,9526,-0.762247681474478
"Indonesia",70.5,67.6,13.7,8.6,11466,0.057973767323411
"Viet Nam",70.3,73.6,13,8.4,7867,-0.181257488575973
"Philippines",69.9,69.3,13.1,9,8920,-0.147081594876061
"Botswana",69.3,61.1,12.3,10.3,16198,-0.420488744475357
"Bolivia (Plurinational State of)",69.2,63.6,14.9,9.8,8111,0.468084491722356
"Kyrgyzstan",69.2,70,13.2,11.4,4566,-0.112905701176149
"Venezuela (Bolivarian Republic of)",69.1,70.6,12.8,11.1,4811,-0.249609275975797
"Iraq",68.6,70.4,12.1,7.9,9977,-0.488840531875182
"Tajikistan",68.5,71.6,11.7,11.3,4548,-0.62554410667483
"Belize",68.3,70.5,13,8.8,6309,-0.181257488575973
"Morocco",68.3,74,14.2,5.9,7303,0.228853235822971
"El Salvador",67.5,70.7,12.7,7.2,8296,-0.283785169675709
"Nicaragua",66.7,73.8,12.6,7.1,5625,-0.317961063375621
"Bhutan",66.6,71.8,13.2,5.2,9438,-0.112905701176149
"Cabo Verde",66.2,74.1,12.6,6.3,6230,-0.317961063375621
"Bangladesh",66.1,72.4,12.4,7.4,5472,-0.386312850775445
"Tuvalu",64.1,64.5,9.4,10.6,6351,-1.41158966177281
"Marshall Islands",63.9,65.3,10.2,10.9,4620,-1.13818251217351
"India",63.3,67.2,11.9,6.7,6590,-0.557192319275005
"Ghana",63.2,63.8,12,8.3,5745,-0.523016425575094
"Micronesia (Federated States of)",62.8,70.7,11.5,7.8,3696,-0.693895894074654
"Guatemala",62.7,69.2,10.6,5.7,8723,-1.00147893737386
"Kiribati",62.4,67.4,11.8,8,4063,-0.591368212974917
"Honduras",62.1,70.1,10.1,7.1,5298,-1.17235840587342
"Sao Tome and Principe",61.8,67.6,13.4,6.2,4021,-0.0445539137763248
"Namibia",61.5,59.3,11.9,7.2,8634,-0.557192319275005
"Lao People's Democratic Republic",60.7,68.1,10.1,5.4,7700,-1.17235840587342
"Timor-Leste",60.7,67.7,12.6,5.4,4461,-0.317961063375621
