country,life_expectancy_female,life_expectancy_male,schooling_expected_female,schooling_expected_male,schooling_mean_female,schooling_mean_male,gni_per_capita_female,gni_per_capita_male
Dominican Republic,76.3,69.3,15.4,13.6,9.6,9.0,"13,695","22,248"
Moldova (Republic of),73.5,64.4,14.8,14.1,11.9,11.8,"12,087","17,961"
Palau,70.6,62.4,16.0,15.5,,,,
Cuba,76.4,71.2,15.1,13.8,12.6,12.4,"5,103","10,693"
Peru,74.7,70.1,15.2,15.5,9.3,10.5,"9,813","14,727"
Armenia,77.4,66.6,13.8,12.5,11.3,11.3,"8,736","18,558"
Mexico,74.9,66.1,15.2,14.5,9.1,9.4,"12,456","23,600"
Brazil,76.0,69.6,16.0,15.2,8.3,7.9,"10,903","17,960"
Colombia,76.4,69.4,14.7,14.2,9.0,8.7,"10,281","18,599"
Saint Vincent and the Grenadines,72.4,67.4,14.9,14.5,10.9,10.7,"8,720","15,075"
Maldives,81.0,79.1,14.2,11.9,7.1,7.5,"6,359","22,119"
Algeria,78.0,74.9,15.3,14.0,7.7,8.4,"3,550","17,787"
Azerbaijan,73.3,65.6,13.6,13.4,10.2,10.9,"10,536","18,076"
Tonga,73.7,68.4,16.3,15.7,11.5,11.2,"4,842","8,845"
Turkmenistan,72.7,65.9,13.0,13.4,10.9,11.6,"9,227","16,884"
Ecuador,77.5,70.3,14.9,14.3,8.8,8.8,"7,451","13,180"
Mongolia,75.7,66.5,15.6,14.4,9.9,8.8,"8,541","12,666"
Egypt,72.6,67.9,13.8,13.7,9.8,9.4,"3,536","19,741"
Tunisia,77.1,70.7,16.5,14.5,6.9,8.0,"4,870","15,778"
Fiji,68.9,65.4,15.0,14.5,11.0,10.8,"5,664","14,270"
Suriname,73.6,67.2,14.2,11.9,9.9,9.6,"8,866","16,506"
Uzbekistan,73.4,68.3,12.4,12.6,11.7,12.1,"5,427","10,403"
Dominica,76.3,69.7,14.6,12.2,,,,
Jordan,76.8,72.1,10.8,10.5,10.1,10.8,"3,778","15,631"
Libya,74.4,69.6,13.1,12.6,8.5,7.2,"9,570","20,960"
Paraguay,73.4,67.4,13.6,12.4,8.9,8.9,"9,410","15,265"
"Palestine, State of",75.9,71.1,14.3,12.5,9.9,10.0,"2,250","10,937"
Saint Lucia,74.7,67.8,13.4,12.4,8.8,8.3,"9,991","14,147"
Guyana,69.1,62.5,12.8,12.2,8.7,8.5,"14,735","30,534"
South Africa,65.0,59.5,14.0,13.3,9.7,12.2,"9,935","16,129"
Jamaica,72.5,68.5,13.7,13.1,9.7,8.5,"6,982","10,715"
Samoa,75.5,70.3,13.0,11.9,11.8,11.0,"3,223","7,312"
Gabon,68.5,63.5,12.6,13.4,7.8,10.5,"9,376","17,212"
Lebanon,77.3,72.8,11.1,11.5,8.5,8.9,"3,815","15,586"
Indonesia,69.7,65.5,13.8,13.7,8.2,8.9,"7,906","14,976"
Viet Nam,78.2,69.1,13.2,12.7,8.0,8.7,"6,932","8,826"
Philippines,71.5,67.2,13.5,12.8,9.2,8.7,"7,487","10,311"
Botswana,63.6,58.7,12.4,12.2,10.3,10.4,"13,839","18,618"
Bolivia (Plurinational State of),66.8,60.9,14.9,15.0,9.2,10.5,"6,856","9,359"
Kyrgyzstan,74.4,65.8,13.4,13.0,11.6,11.1,"2,863","6,331"
Venezuela (Bolivarian Republic of),75.2,66.3,13.8,11.8,11.4,10.8,"2,866","6,796"
Iraq,72.4,68.2,11.5,12.7,7.2,8.4,"2,184","17,748"
Tajikistan,73.7,69.6,11.2,12.1,10.9,11.8,"2,980","6,096"
Belize,74.3,67.1,13.3,12.7,9.0,8.7,"4,249","8,345"
Morocco,76.4,71.9,13.9,14.4,5.0,6.9,"3,194","11,356"
El Salvador,75.1,66.1,12.7,12.6,6.8,7.6,"5,824","11,015"
Nicaragua,76.8,70.8,12.7,12.6,7.4,6.8,"3,646","7,661"
Bhutan,73.8,70.1,13.6,12.8,4.5,5.8,"6,671","11,896"
Cabo Verde,78.5,69.6,12.8,12.3,6.0,6.6,"4,682","7,796"
Bangladesh,74.3,70.6,13.0,11.9,6.8,8.0,"2,811","8,176"
Tuvalu,69.1,60.8,9.5,9.3,10.4,10.8,,
Marshall Islands,67.2,63.7,10.4,10.1,10.7,11.1,,
India,68.9,65.8,11.9,11.8,6.3,7.2,"2,277","10,633"
Ghana,66.0,61.6,12.1,12.0,7.8,9.0,"4,723","6,771"
Micronesia (Federated States of),74.6,67.1,,,,,,
Guatemala,72.7,66.0,10.5,10.6,5.2,6.2,"4,909","12,614"
Kiribati,69.1,65.5,12.4,11.3,,,,
Honduras,72.5,67.9,10.4,9.9,6.8,7.4,"4,271","6,304"
Sao Tome and Principe,70.4,65.2,13.5,13.3,5.6,6.8,"2,415","5,635"
Namibia,63.0,55.7,11.9,11.9,7.5,6.9,"7,271","10,094"
Lao People's Democratic Republic,70.1,66.2,9.9,10.3,5.0,5.8,"6,757","8,627"
Timor-Leste,69.5,66.1,12.2,13.0,4.7,6.2,"3,642","5,248"
Vanuatu,72.9,68.4,11.4,11.7,,,"2,354","3,809"
Nepal,70.4,66.6,12.9,12.8,4.2,6.2,"3,677","4,095"
Eswatini (Kingdom of),61.2,53.4,13.2,14.2,5.7,5.5,"6,384","8,993"
Equatorial Guinea,62.7,58.8,,,4.2,7.6,"8,351","15,399"
Cambodia,72.3,66.8,11.0,11.9,4.4,5.9,"3,464","4,706"
Zimbabwe,62.0,56.2,12.0,12.3,8.3,9.2,"3,286","4,397"
Angola,64.3,59.0,11.5,12.9,4.2,6.9,"4,751","6,197"
Myanmar,69.0,62.5,11.1,10.7,6.1,6.7,"2,619","5,093"
Syrian Arab Republic,75.2,69.1,9.1,9.2,4.6,5.6,"1,285","7,088"
Cameroon,62.0,58.7,12.4,13.8,4.8,7.5,"2,981","4,264"
Kenya,64.1,58.9,10.3,11.1,6.1,7.3,"3,873","5,084"
