"year","age","racehisp","degree","eqwlth","conlegis"
2010,32,"Hispanic","Less Than High School",1,"Only Some"
2010,63,"Black","Graduate",1,"Only Some"
2010,80,"Black","High School",NA,NA
2010,52,"Other","Graduate",7,"Hardly Any"
2010,25,"White","Bachelor",5,"A Great Deal"
2010,70,"White","High School",6,"Hardly Any"
2010,35,"Other","Graduate",NA,NA
2010,41,"White","Bachelor",NA,NA
2010,24,"Black","Bachelor",3,"Only Some"
2010,60,"White","Bachelor",NA,NA
2010,55,"White","High School",NA,NA
2010,23,"White","High School",NA,NA
2010,68,"White","Bachelor",4,"Hardly Any"
2010,22,"White","Bachelor",3,"Only Some"
2010,58,"White","Bachelor",1,"A Great Deal"
2010,55,"White","Graduate",NA,NA
2010,75,"Other","Bachelor",2,"Only Some"
2010,66,"White","High School",NA,NA
2010,76,"White","High School",7,"Hardly Any"
2010,79,"White","High School",7,"Hardly Any"
2010,29,"Hispanic","Bachelor",5,"Only Some"
2010,60,"White","Bachelor",4,"Only Some"
2010,36,"White","High School",2,"Only Some"
2010,75,"White","High School",7,"Hardly Any"
2010,48,"White","High School",NA,NA
2010,35,"White","Less Than High School",3,"Hardly Any"
2010,54,"White","High School",5,"Hardly Any"
2010,45,"White","High School",5,"Hardly Any"
2010,58,"White","Bachelor",5,"Hardly Any"
2010,46,"Hispanic","Bachelor",1,"Hardly Any"
2010,36,NA,"Junior College",4,"Only Some"
2010,58,"Hispanic","High School",1,"Only Some"
2010,40,"White","Bachelor",5,"Hardly Any"
2010,44,"White","High School",1,"Hardly Any"
2010,59,"White","Bachelor",NA,NA
2010,80,"White","High School",5,"Only Some"
2010,72,"White","High School",3,"Hardly Any"
2010,76,"White","High School",1,"Only Some"
2010,65,"White","High School",NA,NA
2010,43,"White","Bachelor",5,"Hardly Any"
2010,73,"White","High School",4,"Only Some"
2010,27,"White","High School",NA,NA
2010,73,"White","Bachelor",6,"Hardly Any"
2010,60,"White","Graduate",2,"Hardly Any"
2010,42,"Hispanic","Junior College",1,"Only Some"
2010,51,"White","Graduate",3,"Only Some"
2010,21,"White","High School",4,"A Great Deal"
2010,30,"White","Less Than High School",1,"Only Some"
2010,45,"White","High School",4,"Hardly Any"
2010,35,"Other","High School",4,"A Great Deal"
2010,79,"White","High School",NA,NA
2010,67,"White","Graduate",5,"Only Some"
2010,19,"White","High School",3,"Only Some"
2010,76,"White","Bachelor",NA,NA
2010,70,"White","Bachelor",5,"Only Some"
2010,60,"White","Graduate",5,"Only Some"
2010,47,"White","Graduate",NA,NA
2010,57,"White","Bachelor",4,"Hardly Any"
2010,75,"White","Bachelor",NA,NA
2010,43,"White","Bachelor",5,"Hardly Any"
2010,45,"White","Bachelor",7,"Only Some"
2010,29,"Hispanic","High School",1,"Hardly Any"
2010,38,"Hispanic","Less Than High School",NA,NA
2010,25,"Hispanic","High School",NA,NA
2010,37,"Other","Bachelor",1,"Hardly Any"
2010,63,"White","Bachelor",3,"Hardly Any"
2010,62,"Black","Bachelor",4,"Hardly Any"
2010,28,"Black","Bachelor",6,"A Great Deal"
2010,61,"Black","Bachelor",5,"Only Some"
2010,47,"Black","Bachelor",NA,NA
2010,55,"White","Junior College",1,"Hardly Any"
2010,48,"Black","High School",NA,NA
2010,49,"White","High School",1,"Hardly Any"
2010,20,"Other","High School",NA,NA
2010,24,"Hispanic","High School",NA,NA
2010,24,"White","Bachelor",4,"Hardly Any"
2010,26,"White","High School",4,"Hardly Any"
2010,27,"White","Bachelor",NA,NA
2010,48,"White","Graduate",3,"Hardly Any"
2010,54,"White","Bachelor",NA,NA
2010,64,"White","Graduate",2,"Only Some"
2010,23,"Other","High School",1,"Only Some"
2010,73,"Hispanic","High School",4,"Only Some"
2010,30,"Hispanic","High School",4,"Hardly Any"
2010,53,"Black","High School",NA,NA
2010,39,"White","High School",4,"Only Some"
2010,39,"Black","High School",NA,NA
2010,50,"Hispanic","High School",2,"Only Some"
2010,65,"White","Graduate",NA,NA
2010,51,"White","High School",4,"Only Some"
2010,29,"Hispanic","High School",3,"A Great Deal"
