"country","gender_inequality_index","maternal_mortality_ratio","adolescent_birth_rate","parliament_female","secondary_educ_female","secondary_educ_male","labor_force_participation_female","labor_force_participation_male","life_expectancy_female","life_expectancy_male","schooling_expected_female","schooling_expected_male","schooling_mean_female","schooling_mean_male","gni_per_capita_female","gni_per_capita_male","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Türkiye",27.2,17,16.9,17.3,56.3,75.9,31.8,69.4,79.1,73,17.9,18.8,7.9,9.4,19079,42929,83.8,76,18.3,8.6,31033,1.59701725917512
"Montenegro",11.9,6,10.4,24.7,92.3,99.2,47.8,62,79.8,73,15.6,14.6,11.8,12.6,15935,26001,83.2,76.3,15.1,12.2,20839,0.499105735111851
"Kuwait",30.5,12,5.6,1.5,60.9,55.2,47.4,83.8,81.5,77.2,17,13.9,8.1,6.9,28086,68827,83.1,78.7,15.3,7.3,52920,0.567725205365805
"Brunei Darussalam",25.9,31,10,9.1,70.4,71.2,54.1,72.3,76.9,72.6,14.4,13.5,9.2,9.2,47579,80261,82.9,74.6,14,9.2,64490,0.121698648715102
"Russian Federation",20.3,17,15,16.5,92.8,95.9,54.5,69.7,74.8,64.2,16,15.6,12.8,12.8,21857,33288,82.2,69.4,15.8,12.8,27166,0.739273881000691
"Romania",28.2,19,36.4,18.5,88.8,93.7,42.8,62.3,77.9,70.6,14.7,13.8,11,11.6,24554,35874,82.1,74.2,14.2,11.3,30027,0.190318118969056
"Oman",30,19,9.9,9.9,96.6,99.9,28.7,85,74.7,71,15,14.5,12.1,11.4,7169,39717,81.6,72.5,14.6,11.7,27054,0.327557059476965
"Bahamas",32.9,70,25.7,20,87,89.9,65.6,71.5,NA,NA,NA,NA,NA,NA,NA,NA,81.2,71.6,12.9,12.6,30486,-0.255708437681647
"Kazakhstan",16.1,10,21.9,24.5,99.8,100,63.3,75.5,73.1,65.5,16,15.5,12.4,12.3,18976,29305,81.1,69.4,15.8,12.3,23943,0.739273881000691
"Trinidad and Tobago",34.4,67,38.1,32.4,84.8,80.6,46.7,68,76.4,69.7,14.8,14.2,11.7,11.5,16794,30166,81,73,14.5,11.6,23392,0.293247324349988
"Costa Rica",25.6,27,37.1,45.6,56.2,54.5,47.5,71.1,79.8,74.4,17.1,16,8.9,8.7,16568,23376,80.9,77,16.5,8.8,19974,0.979442026889531
"Uruguay",23.5,17,36.2,26.2,59.6,55.5,54.8,69.3,79.3,71.7,17.3,15.4,9.3,8.7,17125,25680,80.9,75.4,16.8,9,21269,1.08237123227046
"Belarus",10.4,2,11.9,34.7,97.5,99,57.3,71.4,77.7,67.3,15.3,15,12.2,12.1,15158,23165,80.8,72.4,15.2,12.1,18849,0.533415470238828
