"id","year","educ","agekdbrn","racehisp"
515,2012,14,25,"white"
516,2012,16,29,"white"
517,2012,8,16,"white"
518,2012,9,24,"hispanic"
519,2012,8,23,"hispanic"
520,2012,9,23,"hispanic"
521,2012,12,18,"black"
523,2012,12,24,"black"
524,2012,9,30,"black"
526,2012,12,27,"black"
528,2012,5,20,"hispanic"
532,2012,12,18,"black"
533,2012,12,21,"white"
534,2012,14,19,"white"
535,2012,12,23,"white"
536,2012,15,31,"white"
537,2012,13,25,"white"
538,2012,12,24,"white"
539,2012,14,25,"white"
540,2012,18,29,"white"
542,2012,11,17,"black"
543,2012,10,35,"hispanic"
544,2012,13,20,"black"
546,2012,12,18,"black"
547,2012,10,20,"black"
549,2012,11,18,"hispanic"
551,2012,14,24,"white"
552,2012,15,23,"black"
554,2012,10,17,"black"
555,2012,12,19,"black"
556,2012,11,21,"black"
557,2012,10,22,"black"
558,2012,10,30,"black"
560,2012,12,20,"hispanic"
561,2012,6,22,"hispanic"
562,2012,12,21,"hispanic"
563,2012,6,22,"hispanic"
564,2012,14,25,"black"
565,2012,12,19,"hispanic"
566,2012,6,18,"other"
567,2012,17,30,"black"
568,2012,11,27,"hispanic"
569,2012,15,21,"hispanic"
572,2012,16,25,"hispanic"
573,2012,17,34,"white"
574,2012,16,30,"white"
575,2012,14,39,"black"
576,2012,10,28,"black"
577,2012,12,23,"white"
578,2012,12,18,"black"
579,2012,13,34,"white"
580,2012,7,15,"white"
581,2012,12,22,"other"
583,2012,19,31,"other"
584,2012,20,30,"white"
585,2012,20,25,"other"
586,2012,17,27,"black"
587,2012,18,29,"white"
588,2012,12,28,"black"
589,2012,11,17,"black"
590,2012,13,18,"black"
593,2012,14,27,"white"
594,2012,12,19,"white"
595,2012,16,33,"white"
596,2012,14,26,"black"
598,2012,18,30,"white"
600,2012,18,36,"hispanic"
601,2012,16,28,"white"
602,2012,20,26,"white"
603,2012,13,31,"white"
605,2012,12,22,"white"
607,2012,12,18,"white"
609,2012,12,24,"white"
610,2012,16,32,"white"
611,2012,18,19,"white"
612,2012,13,20,"white"
614,2012,14,23,"hispanic"
615,2012,14,22,"other"
616,2012,16,34,"white"
617,2012,12,21,"hispanic"
618,2012,14,21,"other"
621,2012,14,18,"black"
622,2012,12,27,"white"
623,2012,14,26,"white"
624,2012,14,20,"white"
625,2012,12,25,"black"
626,2012,18,41,"white"
632,2012,10,19,"white"
633,2012,13,23,"white"
634,2012,12,21,"white"
635,2012,11,19,"white"
636,2012,14,26,"white"
637,2012,14,19,"white"
638,2012,13,19,"white"
639,2012,12,20,"white"
640,2012,12,30,"hispanic"
641,2012,15,19,"white"
642,2012,11,15,"white"
643,2012,12,21,"hispanic"
644,2012,15,34,"white"
645,2012,12,23,"white"
646,2012,15,30,"white"
649,2012,16,24,"hispanic"
652,2012,8,16,"hispanic"
653,2012,6,18,"hispanic"
655,2012,16,35,"white"
657,2012,13,33,"black"
658,2012,14,19,"hispanic"
661,2012,12,26,"white"
663,2012,13,17,"black"
665,2012,12,18,"black"
666,2012,12,23,"black"
668,2012,12,25,"black"
669,2012,17,27,"white"
670,2012,14,23,"white"
671,2012,16,25,"black"
672,2012,16,31,"white"
673,2012,18,29,"white"
676,2012,9,31,"white"
678,2012,12,30,"white"
680,2012,9,17,"hispanic"
681,2012,9,24,"hispanic"
682,2012,14,14,"black"
683,2012,6,28,"hispanic"
684,2012,12,26,"hispanic"
685,2012,15,21,"other"
686,2012,16,23,"other"
687,2012,12,28,"hispanic"
688,2012,12,22,"hispanic"
691,2012,12,24,"hispanic"
693,2012,15,19,"white"
694,2012,13,19,"white"
695,2012,13,22,"white"
696,2012,17,28,"hispanic"
697,2012,14,25,"hispanic"
699,2012,16,29,"white"
700,2012,14,25,"white"
701,2012,14,28,"white"
705,2012,20,29,"white"
707,2012,12,21,"white"
708,2012,13,21,"white"
709,2012,12,20,"white"
710,2012,16,34,"white"
711,2012,11,29,"white"
712,2012,13,19,"white"
713,2012,12,23,"white"
714,2012,12,18,"white"
715,2012,14,24,"white"
717,2012,13,19,"white"
718,2012,20,33,"white"
719,2012,15,33,"white"
720,2012,12,20,"black"
721,2012,11,17,"white"
723,2012,13,19,"white"
726,2012,12,25,"white"
727,2012,13,39,"white"
730,2012,12,18,"white"
731,2012,8,16,"black"
732,2012,12,18,"black"
735,2012,16,34,"white"
736,2012,8,21,"white"
737,2012,12,20,"white"
738,2012,13,17,"white"
739,2012,12,35,"white"
740,2012,12,30,"white"
741,2012,16,25,"white"
742,2012,18,30,"other"
745,2012,16,20,"white"
747,2012,13,24,"white"
749,2012,11,18,"white"
751,2012,12,18,"black"
752,2012,14,25,"white"
756,2012,14,28,"white"
757,2012,17,29,"white"
759,2012,13,17,"black"
761,2012,16,26,"black"
762,2012,12,22,"white"
763,2012,12,25,"hispanic"
765,2012,15,27,"white"
766,2012,13,23,"white"
768,2012,12,31,"white"
769,2012,12,20,"black"
770,2012,13,19,"hispanic"
771,2012,13,20,"hispanic"
773,2012,8,23,"hispanic"
774,2012,14,30,"hispanic"
775,2012,13,21,"hispanic"
776,2012,15,33,"hispanic"
777,2012,14,23,"other"
780,2012,16,33,"white"
781,2012,15,22,"white"
782,2012,16,28,"white"
783,2012,15,26,"white"
786,2012,12,23,"white"
787,2012,13,18,"white"
788,2012,16,24,"white"
789,2012,15,25,"white"
790,2012,16,29,"white"
792,2012,11,21,"white"
793,2012,14,16,"white"
794,2012,16,32,"other"
796,2012,12,24,"white"
797,2012,14,35,"other"
799,2012,16,29,"white"
800,2012,12,20,"hispanic"
801,2012,13,29,"white"
802,2012,13,26,"white"
803,2012,15,20,"white"
804,2012,12,35,"white"
805,2012,20,31,"other"
806,2012,12,25,"white"
807,2012,12,22,"white"
809,2012,11,25,"black"
810,2012,12,21,"black"
812,2012,9,16,"black"
813,2012,9,21,"white"
814,2012,18,21,"white"
815,2012,16,33,"white"
816,2012,12,30,"white"
817,2012,16,20,"white"
819,2012,12,19,"white"
820,2012,11,24,"white"
821,2012,16,23,"white"
822,2012,14,22,"white"
823,2012,14,21,"black"
825,2012,16,31,"white"
826,2012,16,32,"white"
828,2012,12,19,"white"
829,2012,16,19,"black"
830,2012,15,17,"black"
831,2012,15,25,"white"
832,2012,16,28,"black"
833,2012,16,27,"white"
834,2012,12,32,"hispanic"
835,2012,9,15,"black"
838,2012,12,21,"white"
839,2012,13,26,"white"
841,2012,12,17,"black"
842,2012,12,24,"white"
843,2012,12,18,"white"
844,2012,12,22,"white"
845,2012,16,25,"white"
846,2012,10,22,"white"
847,2012,15,19,"white"
848,2012,10,25,"white"
852,2012,17,23,"white"
853,2012,12,27,"white"
856,2012,10,31,"white"
859,2012,11,28,"white"
860,2012,12,18,"white"
861,2012,12,27,"white"
862,2012,11,23,"white"
863,2012,11,18,"black"
865,2012,18,25,"black"
866,2012,11,38,"black"
867,2012,16,29,"white"
869,2012,13,17,"white"
871,2012,16,21,"hispanic"
875,2012,12,34,"white"
877,2012,6,23,"hispanic"
878,2012,10,17,"hispanic"
879,2012,3,17,"black"
881,2012,12,40,"white"
882,2012,10,21,"black"
883,2012,9,20,"hispanic"
885,2012,12,20,"hispanic"
887,2012,13,24,"white"
888,2012,12,19,"white"
889,2012,16,28,"white"
890,2012,15,21,"white"
891,2012,18,24,"white"
893,2012,16,37,"white"
894,2012,14,28,"white"
895,2012,19,28,"white"
896,2012,18,34,"black"
898,2012,11,17,"white"
899,2012,12,17,"black"
901,2012,16,28,"white"
902,2012,15,23,"white"
903,2012,12,18,"white"
906,2012,13,25,"white"
907,2012,18,26,"white"
909,2012,13,20,"white"
910,2012,14,18,"white"
911,2012,9,27,"black"
912,2012,15,21,"black"
919,2012,12,21,"white"
920,2012,13,22,"white"
923,2012,12,19,"white"
924,2012,13,27,"white"
928,2012,12,30,"white"
929,2012,15,26,"white"
930,2012,12,26,"white"
931,2012,14,20,"white"
932,2012,14,30,"white"
934,2012,11,17,"white"
935,2012,12,20,"hispanic"
936,2012,12,28,"black"
937,2012,14,18,"hispanic"
939,2012,12,24,"white"
940,2012,12,26,"white"
942,2012,12,21,"white"
943,2012,14,23,"black"
945,2012,12,32,"white"
946,2012,16,25,"white"
947,2012,16,26,"black"
948,2012,14,30,"white"
949,2012,12,19,"white"
950,2012,12,20,"white"
951,2012,12,27,"white"
953,2012,20,34,"white"
954,2012,18,27,"hispanic"
955,2012,18,31,"white"
956,2012,12,29,"white"
957,2012,12,21,"white"
958,2012,12,27,"white"
959,2012,16,26,"white"
962,2012,14,19,"white"
964,2012,16,39,"white"
965,2012,16,25,"white"
966,2012,12,21,"hispanic"
967,2012,16,22,"white"
968,2012,17,21,"hispanic"
969,2012,17,24,"white"
971,2012,12,20,"other"
972,2012,12,23,"white"
973,2012,20,24,"white"
974,2012,11,18,"white"
975,2012,16,26,"white"
976,2012,18,22,"white"
977,2012,16,24,"white"
978,2012,15,29,"white"
979,2012,16,17,"white"
980,2012,16,24,"white"
981,2012,14,25,"white"
983,2012,12,21,"white"
984,2012,13,20,"white"
985,2012,14,22,"white"
986,2012,12,20,"white"
988,2012,11,21,"white"
989,2012,14,19,"white"
991,2012,12,28,"hispanic"
992,2012,12,15,"black"
995,2012,9,21,"white"
997,2012,14,31,"white"
998,2012,12,20,"white"
999,2012,18,24,"white"
1000,2012,14,29,"white"
1001,2012,12,33,"white"
1003,2012,8,22,"hispanic"
1006,2012,16,21,"hispanic"
1010,2012,12,21,"white"
1012,2012,13,25,"white"
1013,2012,12,20,"white"
1014,2012,12,18,"white"
1017,2012,18,33,"white"
1019,2012,10,20,"white"
1020,2012,7,23,"white"
1022,2012,13,24,"white"
1024,2012,17,40,"white"
1025,2012,8,19,"other"
1026,2012,12,25,"white"
1027,2012,16,33,"white"
1031,2012,16,24,"black"
1034,2012,12,17,"white"
1035,2012,11,20,"white"
1036,2012,20,30,"white"
1038,2012,13,21,"white"
1040,2012,16,25,"white"
1041,2012,16,29,"white"
1043,2012,9,26,"white"
1044,2012,15,26,"white"
1045,2012,10,27,"white"
1046,2012,10,21,"white"
1048,2012,14,24,"hispanic"
1049,2012,10,18,"other"
1050,2012,13,18,"black"
1051,2012,12,34,"white"
1052,2012,8,24,"white"
1053,2012,10,20,"white"
1056,2012,12,27,"white"
1059,2012,16,29,"white"
1061,2012,12,23,"white"
1062,2012,14,18,"white"
1064,2012,14,23,"white"
1068,2012,13,18,"black"
1069,2012,16,14,"black"
1070,2012,14,19,"hispanic"
1071,2012,11,18,"black"
1072,2012,12,20,"white"
1073,2012,12,29,"white"
1074,2012,12,20,"black"
1075,2012,12,23,"white"
1077,2012,16,28,"white"
1080,2012,14,27,"white"
1083,2012,17,16,"white"
1087,2012,9,26,"white"
1088,2012,14,20,"white"
1089,2012,11,17,"black"
1090,2012,15,29,"white"
1091,2012,12,13,"black"
1092,2012,12,18,"white"
1093,2012,12,28,"white"
1094,2012,3,26,"hispanic"
1095,2012,16,26,"black"
1096,2012,11,21,"white"
1097,2012,17,27,"white"
1098,2012,18,34,"white"
1099,2012,18,31,"white"
1100,2012,12,18,"white"
1102,2012,11,20,"white"
1103,2012,16,25,"white"
1105,2012,15,20,"white"
1106,2012,9,21,"white"
1107,2012,10,20,"white"
1108,2012,9,19,"white"
1109,2012,9,19,"white"
1110,2012,12,20,"white"
1111,2012,17,31,"white"
1112,2012,12,26,"white"
1113,2012,16,28,"white"
1114,2012,14,20,"white"
1115,2012,12,35,"white"
1121,2012,12,25,"white"
1122,2012,12,18,"white"
1125,2012,12,22,"white"
1126,2012,10,18,"white"
1127,2012,14,25,"white"
1130,2012,16,19,"white"
1132,2012,14,17,"black"
1134,2012,6,25,"hispanic"
1135,2012,13,20,"black"
1137,2012,14,21,"white"
1138,2012,16,27,"white"
1139,2012,10,18,"white"
1140,2012,12,21,"black"
1141,2012,15,31,"black"
1142,2012,18,24,"white"
1143,2012,10,18,"white"
1144,2012,16,27,"white"
1145,2012,13,19,"black"
1146,2012,11,19,"white"
1147,2012,16,16,"black"
1149,2012,12,22,"white"
1150,2012,17,27,"other"
1152,2012,8,24,"white"
1153,2012,14,34,"white"
1154,2012,8,22,"white"
1155,2012,12,19,"black"
1156,2012,11,18,"white"
1158,2012,14,19,"black"
1159,2012,14,14,"black"
1160,2012,12,24,"black"
1161,2012,12,21,"black"
1162,2012,12,24,"white"
1163,2012,14,23,"black"
1165,2012,12,18,"black"
1168,2012,13,22,"white"
1169,2012,16,25,"white"
1171,2012,12,20,"white"
1172,2012,16,26,"black"
1173,2012,16,30,"white"
1174,2012,12,20,"white"
1175,2012,12,26,"black"
1176,2012,12,26,"white"
1178,2012,14,27,"white"
1179,2012,14,20,"white"
1180,2012,16,27,"white"
1181,2012,15,24,"white"
1182,2012,12,17,"white"
1183,2012,11,17,"black"
1184,2012,11,18,"black"
1185,2012,16,35,"white"
1186,2012,12,17,"black"
1188,2012,10,17,"white"
1191,2012,14,22,"white"
1192,2012,16,32,"black"
1194,2012,14,17,"black"
1196,2012,12,21,"white"
1197,2012,14,20,"white"
1198,2012,14,16,"black"
1199,2012,12,19,"white"
1201,2012,14,28,"white"
1202,2012,8,25,"white"
1203,2012,13,21,"white"
1204,2012,13,21,"black"
1205,2012,14,24,"white"
1206,2012,12,15,"white"
1207,2012,12,18,"hispanic"
1209,2012,15,21,"white"
1210,2012,14,23,"white"
1211,2012,16,30,"white"
1215,2012,14,18,"black"
1217,2012,14,18,"white"
1219,2012,8,21,"white"
1223,2012,15,25,"white"
1224,2012,18,34,"white"
1225,2012,16,22,"white"
1226,2012,9,22,"white"
1227,2012,14,31,"other"
