"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
22100,"Iowa City","IA",203768,47,1,0.017,0.135,0.073,0.07,0.075,0.432,35558,0.368,12.979,0.023,2221,5.944,2.004,0,0.005,0.226,0.712,0.15,0.023,0.025,0.053,0.859,0.432,0.002,0.159,0.084,0.526,-0.002,NA,"Iowa City, IA"
8502,"Cordele","GA",42098,35.3,0,0.434,0.047,0.01,0.01,0.006,0.43,26103,0.496,9.602,0.024,2474,5.945,-4.966,0.068,NA,NA,0.54,0.181,0.009,0.011,0.017,-1.604,0.483,0.004,0.369,0.098,0.517,-0.026,NA,"Cordele, GA"
14500,"Lafayette","IN",347966,43.1,1,0.036,0.209,0.072,0.077,0.066,0.429,32345,0.349,8.583,0.02,1719,6.3,0.095,0.021,0.011,0.161,0.644,0.236,0.015,0.017,0.048,0.435,0.393,0.001,0.191,0.097,0.547,-0.011,NA,"Lafayette, IN"
25602,"Harrisburg","IL",37978,44.5,0,0.032,0.104,0.02,0.015,0.021,0.429,29680,0.399,9.9,0.014,1782,4.601,4.534,0.009,0.026,-0.018,0.533,0.079,0.007,0.009,0.008,1.206,0.525,NA,0.199,0.111,0.582,0.008,NA,"Harrisburg, IL"
36800,"Medford","OR",256995,40.8,1,0.003,0.038,0.046,0.042,0.053,0.429,36289,0.448,10.847,0.024,1783,5.787,3.153,0.023,0.008,-0.153,0.585,0.112,0.031,0.022,0.044,0.017,0.216,0.001,0.228,0.127,0.575,-0.004,NA,"Medford, OR"
12302,"Petoskey","MI",83975,42.1,0,0.003,0.021,0.031,0.03,0.033,0.428,37711,0.488,21.387,0.038,2363,6.357,6.258,NA,0.012,-0.305,0.633,0.142,0.016,0.013,0.014,0.933,0.416,0.001,0.178,0.107,0.608,0.011,NA,"Petoskey, MI"
16500,"Erie","PA",659098,43.7,1,0.034,0.21,0.05,0.051,0.047,0.427,31989,0.392,10.49,0.024,2011,7.642,5.037,-0.008,0.021,0.152,0.611,0.23,0.007,0.009,0.019,0.694,0.521,0.001,0.213,0.09,0.546,-0.005,NA,"Erie, PA"
22601,"Green Bay","WI",310560,47.2,1,0.009,0.153,0.067,0.06,0.073,0.427,38561,0.364,14.097,0.025,2719,6.849,3.521,NA,0.013,0.041,0.707,0.222,0.017,0.018,0.031,1.209,0.72,0,0.171,0.09,0.579,-0.002,NA,"Green Bay, WI"
38602,"Colville","WA",86890,42.3,1,0.002,0.258,0.023,0.019,0.022,0.427,29312,0.405,8.849,0.013,2834,6.828,-1.219,NA,NA,NA,0.583,0.089,0.03,0.026,0.06,-1.069,0.257,0.001,0.202,0.114,0.592,0.005,NA,"Colville, WA"
39000,"Yakima","WA",255943,43.2,1,0.008,0.235,0.069,0.066,0.069,0.427,30403,0.442,10.008,0.015,2138,7.026,-10.483,NA,0.012,0.104,0.622,0.107,0.019,0.023,0.154,-0.709,0.377,0.002,0.213,0.094,0.558,-0.007,NA,"Yakima, WA"
29501,"Leavenworth","KS",85465,42.5,1,0.092,0.089,0.075,0.071,0.072,0.425,33080,0.296,5.759,0.019,1378,6.836,6.203,0,0.023,0.084,0.621,0.106,0.047,0.048,0.023,-0.548,0.378,0.001,0.178,0.136,0.564,0.003,NA,"Leavenworth, KS"
31101,"Victoria","TX",165277,45.8,1,0.064,0.12,0.047,0.034,0.06,0.425,33599,0.472,12.592,0.028,2667,5.525,2.359,0.006,0.006,-0.128,0.608,0.161,0.013,0.017,0.044,-0.449,0.703,0.001,0.201,0.092,0.592,0.004,NA,"Victoria, TX"
