"name","public","tier","test_band_tier","par_income_lab","rel_attend_sat","rel_attend","par_top1pc","par_q1","par_q2","par_q3","par_q4","par_q5","par_median"
"University Of Iowa","Public","Selective public","Flagship","Top 1",1.5473475,1.9337851,0.04724621,0.019710874,0.046569914,0.10916482,0.2286163,0.59593815,128000
"University Of Kansas","Public","Selective public","Flagship","Top 1",1.8366915,2.2356405,0.041651934,0.032162063,0.055346709,0.11382385,0.21328211,0.58538538,125500
"University Of Kentucky","Public","Selective public","Flagship","Top 1",1.0797763,1.3864223,0.020426881,0.041069247,0.07878349,0.12586494,0.24752083,0.50676143,111900
"University Of Miami","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",3.3582547,7.9052291,0.13004477,0.054638311,0.076019131,0.11149383,0.15537784,0.60247099,146600
"University Of Michigan - Ann Arbor","Public","Highly selective public","Flagship","Top 1",2.1627758,6.3784404,0.093400933,0.036093608,0.048294861,0.080968238,0.17103699,0.66360629,154000
"University Of Mississippi","Public","Selective public","Flagship","Top 1",3.4900498,3.0015438,0.056502569,0.068062939,0.098300628,0.11201182,0.19153509,0.53008962,116600
"University Of Montana","Public","Selective public","Flagship","Top 1",1.4180861,1.071281,0.018912675,0.07920488,0.11523861,0.17737891,0.26012072,0.36805695,86700
"University Of Nevada , Reno","Public","Selective public","Flagship","Top 1",0.85000688,0.62068349,0.019102557,0.04215499,0.075631715,0.16308714,0.26520181,0.45392445,103000
"University Of New Hampshire","Public","Selective public","Flagship","Top 1",0.86634433,0.88770187,0.017766733,0.035577726,0.053101517,0.12922697,0.23638298,0.5457108,118700
"University Of New Mexico","Public","Selective public","Flagship","Top 1",0.44744772,0.24113187,0.0060891793,0.1320702,0.16528112,0.19190919,0.24136639,0.26937297,67200
"University Of North Carolina - Chapel Hill","Public","Other elite schools (public and private)","Flagship","Top 1",1.1441225,3.0632539,0.059754882,0.037973911,0.057286233,0.11132515,0.18953216,0.60388261,135100
"University Of North Dakota","Public","Selective public","Flagship","Top 1",0.97311401,0.87765378,0.010703173,0.030488934,0.049364559,0.13249171,0.33597305,0.45168179,103700
"University Of Notre Dame","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.0741725,8.9478331,0.154302,0.015854632,0.027981592,0.056569736,0.15083504,0.74875903,191400
"University Of Oklahoma","Public","Selective public","Flagship","Top 1",1.8624231,2.552778,0.042199869,0.051203355,0.083150566,0.14835073,0.19932285,0.51797259,113900
"University Of Oregon","Public","Selective public","Flagship","Top 1",2.2192218,2.5003574,0.042888567,0.046860464,0.075146444,0.12064213,0.19231848,0.56503248,126400
"University Of Pennsylvania","Private","Ivy Plus","Ivy Plus","Top 1",2.2682042,10.666822,0.18741299,0.032647334,0.048345108,0.084254235,0.1219335,0.71281981,195500
"University Of Pittsburgh System","Public","Highly selective public","Other Top 100 Public","Top 1",0.64379126,1.1052804,0.019960705,0.036527257,0.064159118,0.13481228,0.25544682,0.50905454,111700
"University Of Rhode Island","Public","Selective public","Flagship","Top 1",0.96407753,0.79803222,0.018924823,0.048510931,0.078842126,0.13071832,0.21255115,0.52937746,115600
"University Of Richmond","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",4.1575484,10.557673,0.15121277,0.034199182,0.061469212,0.11047941,0.16846785,0.62538421,149200
"University Of Rochester","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.138311,3.2540011,0.063580409,0.049947619,0.067504317,0.10918523,0.20759498,0.56576777,126100
"University Of South Florida","Public","Selective public","Other Top 100 Public","Top 1",0.53326267,0.50977743,0.013344745,0.081979483,0.1423436,0.19047716,0.26082957,0.32437021,79000
"University Of Southern California","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.4802866,7.9006891,0.1385085,0.049228303,0.066294096,0.10316381,0.14909346,0.63222027,161400
"University Of Texas At Austin","Public","Highly selective public","Flagship","Top 1",1.3442283,3.0634995,0.053543862,0.060106523,0.091680452,0.12535858,0.16675782,0.55609667,123900
"University Of Utah","Public","Selective public","Flagship","Top 1",1.5549245,1.7378155,0.030968595,0.044562299,0.082813308,0.12734374,0.26055807,0.48472255,106900
"University Of Virginia","Public","Other elite schools (public and private)","Flagship","Top 1",1.7157989,5.1644425,0.084623761,0.027691554,0.041277677,0.081385389,0.18146262,0.66818273,155500
"University Of Wyoming","Public","Selective public","Flagship","Top 1",0.66386497,0.84663725,0.010715356,0.032925427,0.059049267,0.14644279,0.28241387,0.47916868,106400
"Vanderbilt University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.5356216,11.081232,0.22803631,0.019114733,0.047281064,0.082386762,0.14968118,0.7015363,204500
"Vassar College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.4451715,4.7840514,0.092714801,0.054111402,0.084008187,0.12284476,0.15117371,0.58786201,132800
"Villanova University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",3.1942284,8.2976866,0.14990871,0.023418553,0.03338553,0.067670323,0.12805031,0.74747527,195800
"Virginia Polytechnic Institute & State University","Public","Highly selective public","Other Top 100 Public","Top 1",0.87504274,1.6204196,0.027973821,0.022946492,0.04714936,0.079807483,0.1907039,0.65939283,142800
"Wake Forest University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",5.3157392,12.272875,0.21693964,0.023041938,0.057562377,0.089531519,0.11711885,0.71274519,221500
"Washington And Lee University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",3.96644,12.347318,0.1906547,0.014685023,0.029988844,0.03980758,0.10454521,0.81097341,261000
"Washington University In St. Louis","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.6995065,12.224758,0.21729413,0.0092534292,0.01690736,0.035180464,0.099844567,0.83881426,272000
"Wellesley College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.1589504,4.2472167,0.11390733,0.065030679,0.059925236,0.11778574,0.17101493,0.58624327,141000
"Wesleyan University","Private","Other elite schools (public and private)","NESCAC","Top 1",2.6529307,8.8642855,0.1660227,0.045187704,0.057003926,0.072504058,0.12217711,0.70312715,192400
"Whitman College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.938409,5.6659856,0.10479984,0.020076323,0.026053529,0.089508206,0.20211095,0.66225111,156200
"Williams College","Private","Other elite schools (public and private)","NESCAC","Top 1",2.264756,10.404689,0.18114738,0.053200811,0.058890976,0.084145471,0.13386814,0.66989464,185800
"Worcester Polytechnic Institute","Private","Highly selective private","Other Top 100 Private","Top 1",0.70251346,1.7668672,0.021889502,0.03696657,0.05745519,0.081284434,0.20858368,0.61571008,130700
"Yale University","Private","Ivy Plus","Ivy Plus","Top 1",1.8412813,8.9829206,0.18662712,0.021422643,0.047050841,0.094461545,0.14251077,0.69455427,192600
"Yeshiva University","Private","Selective private","Other Top 100 Private","Top 1",2.979527,6.5727205,0.12026647,0.040102791,0.047139212,0.091196209,0.13594094,0.68562084,176300
